adm_location,indicator,value,survey_name,ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank,indicator_name
gisenyi,Place of delivery: Health facility,19.3,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Place of delivery: Health facility,41,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Place of delivery: Health facility,37.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Place of delivery: Health facility,41.2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Fully vaccinated (8 basic antigens),88.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Fully vaccinated (8 basic antigens),87.5,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Fully vaccinated (8 basic antigens),88.5,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Fully vaccinated (8 basic antigens),82.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Fully vaccinated (8 basic antigens),87.7,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Fully vaccinated (8 basic antigens),78.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Fully vaccinated (8 basic antigens),90.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Fully vaccinated (8 basic antigens),86.5,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Fully vaccinated (8 basic antigens),94.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Fully vaccinated (8 basic antigens),83.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Fully vaccinated (8 basic antigens),81,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Fully vaccinated (8 basic antigens),87.9,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Fully vaccinated (8 basic antigens),82.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Fully vaccinated (8 basic antigens),90.2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Treatment of diarrhea: Either ORS or RHF,32.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Treatment of diarrhea: Either ORS or RHF,30.3,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Treatment of diarrhea: Either ORS or RHF,28.5,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Treatment of diarrhea: Either ORS or RHF,28.2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Treatment of diarrhea: Either ORS or RHF,36.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Treatment of diarrhea: Either ORS or RHF,32,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Treatment of diarrhea: Either ORS or RHF,39,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Treatment of diarrhea: Either ORS or RHF,35.9,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Treatment of diarrhea: Either ORS or RHF,37.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Treatment of diarrhea: Either ORS or RHF,33.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Treatment of diarrhea: Either ORS or RHF,40,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Treatment of diarrhea: Either ORS or RHF,38.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Treatment of diarrhea: Either ORS or RHF,36,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Treatment of diarrhea: Either ORS or RHF,34.2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Treatment of diarrhea: Either ORS or RHF,43.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Treatment of diarrhea: Either ORS or RHF,41.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Treatment of diarrhea: Either ORS or RHF,27.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Treatment of diarrhea: Either ORS or RHF,24.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Treatment of diarrhea: Either ORS or RHF,39.9,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Treatment of diarrhea: Either ORS or RHF,40.2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Treatment of diarrhea: Either ORS or RHF,28.3,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Treatment of diarrhea: Either ORS or RHF,30.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Treatment of diarrhea: Either ORS or RHF,47.5,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Treatment of diarrhea: Either ORS or RHF,44.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Treatment of diarrhea: Either ORS or RHF,41.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Treatment of diarrhea: Either ORS or RHF,42.2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Treatment of diarrhea: Either ORS or RHF,36.5,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Treatment of diarrhea: Either ORS or RHF,34.2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Children stunted,55.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Children stunted,59,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Children stunted,53,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Children stunted,61.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Children stunted,66.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Children stunted,58.3,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Children stunted,59.9,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Children stunted,55.5,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Children stunted,64.5,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Children stunted,57.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Children stunted,55.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Children stunted,55.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Children stunted,61.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Children stunted,48.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Children wasted,4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Children wasted,4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Children wasted,4.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Children wasted,6.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Children wasted,5.5,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Children wasted,7.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Children wasted,2.5,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Children wasted,2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Children wasted,3.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Children wasted,4.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Children wasted,4.7,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Children wasted,5.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Children wasted,2.3,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Children wasted,7.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Children underweight,27,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Children underweight,34.3,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Children underweight,21.7,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Children underweight,27.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Children underweight,31.3,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Children underweight,24.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Children underweight,20.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Children underweight,18,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Children underweight,23.3,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Children underweight,21.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Children underweight,23.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Children underweight,22.2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Children underweight,20.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Children underweight,21.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Median duration of exclusive breastfeeding,6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Median duration of exclusive breastfeeding,6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Median duration of exclusive breastfeeding,5.9,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Median duration of exclusive breastfeeding,5.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Median duration of exclusive breastfeeding,5.5,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Median duration of exclusive breastfeeding,5.3,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Median duration of exclusive breastfeeding,5.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Median duration of exclusive breastfeeding,4.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Median duration of exclusive breastfeeding,5.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Median duration of exclusive breastfeeding,5.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Median duration of exclusive breastfeeding,5.3,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Median duration of exclusive breastfeeding,6.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Median duration of exclusive breastfeeding,5.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Median duration of exclusive breastfeeding,5.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Women with secondary or higher education,9.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Women with secondary or higher education,9.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Women with secondary or higher education,8.7,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Women with secondary or higher education,5.3,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Women with secondary or higher education,6.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Women with secondary or higher education,4.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Women with secondary or higher education,6.5,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Women with secondary or higher education,5,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Women with secondary or higher education,7.9,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Women with secondary or higher education,5.5,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Women with secondary or higher education,6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Women with secondary or higher education,6.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Women with secondary or higher education,4.2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Women with secondary or higher education,13.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Households with electricity,1.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Households with electricity,1.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Households with electricity,1.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Households with electricity,0.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Households with electricity,0.9,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Households with electricity,0.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Households with electricity,0.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Households with electricity,0.2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Households with electricity,0.9,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Households with electricity,1.2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Households with electricity,0.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Households with electricity,1.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Households with electricity,1.3,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Households with electricity,8.2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Total fertility rate 15-49,4.9,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Total fertility rate 15-49,4.9,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Total fertility rate 15-49,4.9,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Total fertility rate 15-49,6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Total fertility rate 15-49,6.5,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Total fertility rate 15-49,5.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
umutara,Total fertility rate 15-49,6.2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Total fertility rate 15-49,6.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Total fertility rate 15-49,6.3,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Total fertility rate 15-49,5.9,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Total fertility rate 15-49,6.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Total fertility rate 15-49,6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Total fertility rate 15-49,6.7,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Total fertility rate 15-49,6.7,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Total fertility rate 15-49,5.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali ville (pvk) 2000,Total fertility rate 15-49,4.9,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali rurale 2000,Total fertility rate 15-49,5.5,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Married women currently using any method of contraception,13.2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Married women currently using any method of contraception,11.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Married women currently using any method of contraception,14.9,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Married women currently using any method of contraception,14,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Married women currently using any method of contraception,13.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Married women currently using any method of contraception,16.7,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
umutara,Married women currently using any method of contraception,8.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Married women currently using any method of contraception,11,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Married women currently using any method of contraception,11.3,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Married women currently using any method of contraception,10.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Married women currently using any method of contraception,9.7,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Married women currently using any method of contraception,8.2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Married women currently using any method of contraception,7.7,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Married women currently using any method of contraception,12.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Married women currently using any method of contraception,20.7,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali ville (pvk) 2000,Married women currently using any method of contraception,31.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali rurale 2000,Married women currently using any method of contraception,17.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Married women currently using any modern method of contraception,4.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Married women currently using any modern method of contraception,3,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Married women currently using any modern method of contraception,5.5,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Married women currently using any modern method of contraception,6.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Married women currently using any modern method of contraception,5.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Married women currently using any modern method of contraception,8.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
umutara,Married women currently using any modern method of contraception,3.6,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Married women currently using any modern method of contraception,5.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Married women currently using any modern method of contraception,6.2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Married women currently using any modern method of contraception,3.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Married women currently using any modern method of contraception,3.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Married women currently using any modern method of contraception,2.3,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Married women currently using any modern method of contraception,2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gisenyi,Married women currently using any modern method of contraception,6.2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali prefecture 1992,Married women currently using any modern method of contraception,10.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali ville (pvk) 2000,Married women currently using any modern method of contraception,16.5,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali rurale 2000,Married women currently using any modern method of contraception,8.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare/gitarama,Unmet need for family planning,35.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butare,Unmet need for family planning,35.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gitarama,Unmet need for family planning,36.1,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba/kibungo,Unmet need for family planning,36.5,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byumba,Unmet need for family planning,38.2,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibungo,Unmet need for family planning,35.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
umutara,Unmet need for family planning,33.9,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu/ginkongoro,Unmet need for family planning,38,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyangugu,Unmet need for family planning,39.9,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gikongoro,Unmet need for family planning,35.7,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye/ruhengeri/gisenyi,Unmet need for family planning,34.9,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kibuye,Unmet need for family planning,38.8,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruhengeri,Unmet need for family planning,33.4,dhs-quickstats_subnational_rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
